Sample Name,CT
preT_1325,21.38933754
preT_1325,20.65575981
preT_1325,21.46204948
preT_1401,24.57646561
preT_1401,24.47514725
preT_1401,25.23861313
preT_1235,26.29553986
preT_1235,25.57775116
preT_1235,25.65334511
preT_1317,20.57475471
preT_1317,20.60941696
preT_1317,20.72886276
preT_1326,23.58470917
preT_1326,23.48689842
preT_1326,23.61011696
preT_1303,24.9196682
preT_1303,24.36081505
preT_1303,24.2811203
preT_1318,19.96359062
preT_1318,19.88949013
preT_1318,19.99333572
preT_1327,Undetermined
preT_1327,36.00566483
preT_1327,Undetermined
preT_1304,Undetermined
preT_1304,Undetermined
preT_1304,36.58472443
preT_1319,26.1900959
preT_1319,25.7899456
preT_1319,25.93650246
preT_1328,18.46016884
preT_1328,18.51643181
preT_1328,18.39123917
preT_1406,42.98374939
preT_1406,35.26875305
preT_1406,36.31523895
preT_1421,25.72058678
preT_1421,25.6533699
preT_1421,25.469841
3wk_618,Undetermined
3wk_618,Undetermined
3wk_618,Undetermined
3wk_701,37.59595108
3wk_701,36.70920563
3wk_701,36.58784485
preT_1407,Undetermined
preT_1407,Undetermined
preT_1407,Undetermined
preT_1422,36.51867294
preT_1422,41.60008621
preT_1422,Undetermined
3wk_621,Undetermined
3wk_621,Undetermined
3wk_621,Undetermined
3wk_702,37.98003006
3wk_702,Undetermined
3wk_702,42.10781479
preT_1408,26.51378059
preT_1408,26.09461403
preT_1408,26.00386238
preT_1425,33.3806076
preT_1425,35.7338028
preT_1425,31.92679405
3wk_624,36.427742
3wk_624,Undetermined
3wk_624,Undetermined
3wk_705,25.27634621
3wk_705,23.95375252
3wk_705,25.74108505
preT_1410,29.16005516
preT_1410,28.27590561
preT_1410,28.47086716
preT_1428,Undetermined
preT_1428,Undetermined
preT_1428,Undetermined
3wk_625,22.45712852
3wk_625,22.47091675
3wk_625,22.61778831
3wk_706,35.97962952
3wk_706,Undetermined
3wk_706,Undetermined
preT_1415,27.71297264
preT_1415,27.08113098
preT_1415,27.48908997
preT_1430,19.22441864
preT_1430,19.94650459
preT_1430,19.78427696
3wk_626,Undetermined
3wk_626,Undetermined
3wk_626,Undetermined
3wk_709,33.78674698
3wk_709,35.43711472
3wk_709,39.72941971
preT_1416,34.02022171
preT_1416,34.35067368
preT_1416,35.24213028
3wk_601,Undetermined
3wk_601,36.32316589
3wk_601,Undetermined
3wk_627,35.55217361
3wk_627,Undetermined
3wk_627,35.44695663
preT_1418,24.50353241
preT_1418,23.23342133
preT_1418,23.58356667
3wk_616,Undetermined
3wk_616,Undetermined
3wk_616,
3wk_628,Undetermined
3wk_628,37.62900162
3wk_628,36.94765472
preT_1419,Undetermined
preT_1419,Undetermined
